,Unnamed: 0,id,text_ids,question,answer
1190,0,2693,[9251 1334],What material is the JWST sunshield made of?,A Kapton membrane coated with aluminum and silicon
553,0,1461,[9607 13279 556],What is the native language spoken in Shemirān?,A kind of Perso-Tabari
1312,0,495,[3285 1872 7273],What is the carbon abundance of HE 1327-2326 compared to the solar abundance?,One-tenth solar
739,0,1827,[3120 9864],What type of compound does Diethyl oxomalonate act as?,An electron-poor dienophile
1858,0,497,[9788 10608 12584],What is conserved over time in a closed system in special relativity?,The invariant mass
1441,0,2404,[12661 2826],What is a disease associated with cystathionase deficiency?,Cystathioninuria
1994,0,2292,[7538 3832 12167 7130],What is the degree of the Ehrhart polynomial?,The degree of the Ehrhart polynomial is the dimension of the polytope
1867,0,2391,[7285 6468 3852 5474],What is the role of ATG5 in cell cycle arrest?,It leads to G2/M arrest and mitotic catastrophe
1117,0,1913,[7228 9218 5811 5306],What is the function of crystallins in the lens and cornea of the eye?,They maintain transparency
666,0,67,[4157 3846 7444],What type of spores are produced by the fungus?,Conidia and ascospores
1182,0,183,[12004 6156 698],What are the four types of F-gases?,"Hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulfur hexafluoride (SF6), and nitrogen trifluoride (NF3).'''.replace('\n',''"
1976,0,2405,[8342 10058 12020],What is the diameter of nanobes?,20 nanometers
1015,0,1303,[7339 2984],What does Nvidia RTX enable in computer graphics?,Real-time ray tracing
1191,0,2441,[1295 8353 5585],What is the typical mechanism of aromatic compound degradation?,The typical mechanism of aromatic compound degradation is to add two hydroxyl groups to the benzene ring
1834,0,271,[7399 3974],What is a common cause of dissociative fugue?,Childhood victims of sexual abuse
1359,0,1682,[5959 4981 8892 7582],What is the term for the minimal differences in speech sounds that make a difference in how the sound is perceived by listeners?,Phonemic contrast
1577,0,267,[204 11660],What is the degree of Conway's constant?,71
243,0,2301,[11870 259 5396 10517],What is the function of the synthetase subunit of CPS III?,It is responsible for catalyzing the reaction that converts glutamine into carbamoyl phosphate
789,0,1218,[10888 6704 12637 12817],What are the common symptoms of pancytopenia?,"Anemia, leukopenia, and thrombocytopenia"
1185,0,43,[1051 11409],What type of anion is triflate?,A weakly coordinating anion.
915,0,878,[8878 4643],What is the main difference between a zone plate and traditional lenses or curved mirrors?,It uses diffraction instead of refraction
788,0,1055,[4032 10142 1813],What type of plants use a specific carbon fixation pathway to increase their photosynthetic efficiency?,C4 plants
886,0,2367,[128 3817 4575],What is the primary function of the plate in a vacuum tube?,"To attract and capture electrons emitted by the cathode, given a positive potential"
1062,0,1446,[9817 10601],What is uridine attached to in a β-N1-glycosidic bond?,A ribose ring
392,0,2438,[12778 6640 7824],What is the function of hAAG in DNA repair?,It recognizes and excises alkylated bases from DNA
830,0,2678,[3689 4317],What is the crystal system of magnesiohastingsite?,Magnesiohastingsite belongs to the monoclinic crystal system
2109,0,2363,[8109 12014 3240],What is the name of the criterion that states a finite undirected graph is planar if and only if it has a cycle basis in which each edge of the graph participates in at most two basis cycles?,Mac Lane's planarity criterion
803,0,2340,[7720 4950 1578 9897],What is an example of an ancillary statistic in baseball?,The number of at-bats (N)
1127,0,2431,[7085 6939],What is the function of SERCA in the sarcoplasmic reticulum?,SERCA pumps calcium ions into the sarcoplasmic reticulum
1908,0,2285,[886 9881 6932],What is the primary treatment of anaphylaxis?,Epinephrine injection
2192,0,2114,[9039 2288 4641 13000],What type of protein is LSMEM1?,An integral membrane protein
1074,0,1295,[7315 5224 7114],What is the estimated size of asteroid 2019 OK?,100 meters across
1953,0,1571,[1233 12428 384],What is the geometry of RuO4?,Tetrahedral
1655,0,1737,[9070 12513 9217],What type of data is designed to be easily processed by computers?,Machine-readable data
1612,0,2268,[9059 5537 2788 7546],What type of organism produces abamectin naturally?,Streptomyces avermitilis
631,0,1206,[13165 4106 6392],What is the primary function of glycogen phosphorylase?,It breaks down glycogen into glucose-1-phosphate by removing glucose monomers via phosphorolysis
695,0,1667,[3206 1974],What is the formula for the Prandtl number?,Pr = ν / α
1267,0,2648,[5905 8812],What is used to describe objects in Castor?,ClassDescriptors and FieldDescription
1278,0,533,[10026 8088 5491],What is the approximate length of the Cystovirus genome?,Approximately 14 kbp
715,0,1208,[10120 4925 1343 12796],What is A. xylosoxidans resistant to?,"A. xylosoxidans is generally resistant to antibiotics, including penicillins, cephalosporins, quinolones, and aminoglycosides"
1021,0,2594,[5847 8549 13191],What is the purpose of the Compact Linear Collider (CLIC)?,To explore the next energy frontier
1320,0,390,[5698 8890],What is the chemical formula of hexoses?,C6H12O6
1001,0,1658,[580 812 10972],What forms of communication does the embedded controller use with the main computer system?,"ACPI, SMBus, or shared memory"
1795,0,139,[5184 908 5462],What is the structure of phosphite salts?,Approximately tetrahedral
1950,0,1689,[5908 7987 5291 9994],What is the name of the chemokine protein that is ubiquitously expressed in many tissues and cell types?,SDF1
846,0,1703,[11452 7608 6198 1134],What were the advantages of using storage tubes in early computer graphics systems?,"They had very low bandwidth needs, allowing for longer cable distances between computer and terminal, and no need for display-local RAM, which was expensive at the time"
944,0,1810,[10791 7113],What is the purpose of using Bromophenol Blue in gel electrophoresis?,It is used as a color marker to monitor agarose gel electrophoresis and polyacrylamide gel electrophoresis
647,0,539,[10560 4],What is the factor that influences the cutting depth of a laser beam?,The quotient of power and velocity
1335,0,140,[12712 647],What is the source of emf in a battery?,Chemical reactions between electrodes and an electrolyte
627,0,770,[1794 6715 3892],What is the subject of the Borsuk-Ulam theorem?,Topology
1708,0,2572,[9459 8861 3096 7528],What is the rate at which the Homunculus Nebula is expanding?,"Up to 1,000 km/s"
321,0,59,[12038 11448],What is the name of the limit that current technology is approaching in nonlinear optics in vacuum?,The Schwinger limit
641,0,833,[1226 9763 11155],What is the composition of antiprotonic helium?,"An antiproton, an electron, and a helium nucleus"
2209,0,1318,[6773 7760 12461],What type of drug is roxibolone?,An anticholesterolemic and anabolic drug
567,0,2334,[7386 7198],What is the density of FXeONO2?,3.648 g/cm3
2056,0,3,[66 10635 5920],What is the potentially toxic effect of 2-phosphoglycolate in plants?,It inhibits several metabolic pathways
414,0,874,[963 13136 9514],What is the function of Fetuin-A in promoting insulin resistance?,Fetuin-A enhances the binding of free fatty acids to TLR4 and downregulates the expression of adiponectin in adipose tissue
1747,0,518,[3938 10509],What is the formula of Trimethylaluminium?,Al2(CH3)6
1254,0,2446,[6660 249 4833 3826],What is the block size of the Prince cipher?,The block size of the Prince cipher is 64 bits
737,0,1788,[3992 7800 5594 4809],What is the optimal temperature range for the growth of Thermotoga naphthophila?,Between 47-88°C
1332,0,924,[844 12736],What is the number of circles that a circle in the snub trihexagonal tiling is in contact with?,Five
2115,0,810,[7000 3243],What type of therapy allows patients to receive rehabilitation remotely?,Telerehabilitation
1837,0,2225,[2751 6825 2689 10435],What is the role of RNase L in the antiviral response?,"RNase L degrades all RNA within the cell, leading to the activation of MDA5"
378,0,83,[5365 10649],What is a parasitic twin?,"A parasitic twin is a rare condition where a twin embryo develops but does not fully separate, with one twin dominating development at the expense of the other"
1178,0,1018,[3450 6207 1153],What type of tectonic activity can result in the formation of younger and steeper fan segments?,Rapid uplift
1137,0,435,[6529 4877],What is another name for spheroidal weathering?,Onion skin weathering
2123,0,1809,[6255 5589 1495 11362],What is the number of vertices in the 6-cube?,64
756,0,128,[4816 6548 4689],What is an advantage of using lead as a coolant in fast reactors?,It absorbs gamma rays and other ionizing radiation
381,0,1157,[1347 12683 614],What is the idea behind the hypodermic needle model of media influence?,The idea behind the hypodermic needle model of media influence is that media messages are directly and uniformly absorbed by the audience
1331,0,803,[6729 2304 1825],"What is one of the uses of 1,4-Butanediol in industry?",It is used as a solvent
602,0,99,[1159 3891],What can be used to make coping with dysarthria easier?,Augmentative and alternative communication (AAC) devices
1843,0,939,[3028 11570 7376],What is the primary function of LPP3 protein?,It actively hydrolyzes extracellular LPA and short-chain phosphatidic acid
2033,0,796,[6115 8937],What is the name of the research project in which RMF was initially developed?,DEPLOY
1291,0,1584,[11684 151],What can cause trismus?,"Infections, muscle spasms, trauma, and certain medical conditions"
90,0,2309,[2560 10390],What is the major consumer of synthetic polyamides?,The transportation manufacturing industry
1068,0,909,[9226 5368 10797],What is toxic in large concentrations and can be fatal?,Ammonia gas
2219,0,1554,[2713 4539 8701],What is the role of electronic entropy in condensed phases?,It contributes substantially to thermodynamic behavior
217,0,377,[10302 9373 6178],What is the basis of radiesthesia?,"It is based on the idea that a person can detect radiation emitted by a person, animal, object, or geographical feature"
1658,0,1082,[913 10482 10865],What is the primary cause of Familial Hypocalciuric Hypercalcemia?,Loss of function mutations in the calcium-sensing receptor (CaSR) gene
533,0,150,[7790 6105],What is the direction of fluid motion in a cyclorotor?,Perpendicular to the axis of rotation
2170,0,825,[2001 599 4493],What type of tissue is found in all extant classes of echinoderms?,Catch connective tissue
1910,0,1109,[1442 7012 7954],What is GHB used to treat?,"Narcolepsy, cataplexy, and alcoholism"
2162,0,544,[7976 10164 9791],What is the mechanism of action of DPP-4 inhibitors?,"They increase incretin levels, inhibiting glucagon release"
479,0,454,[663 13186 12495],What is the name of the first consumer video format that used letterboxing?,RCA Capacitance Electronic Disc (CED) format
1403,0,2342,[8113 12080 9531 1324],What is one of the uses of calcium sulfite in food and drinks?,It is used as a preservative in wine and fruit juice
1822,0,945,[386 10051],What type of force is responsible for the attraction between molecules in the DLVO theory?,The van der Waals force is responsible for the attraction between molecules in the DLVO theory
